#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1,en-B1a-088,B1a-088,Oddish,Crimson Blaze,088,69,One Shiny,Oddish Crimson Blaze 088/69 pokemon card,,,
2,en-B2a-001,B2a-001,Sprigatito,Paldean Wonders,001,93,One Diamond,Sprigatito Paldean Wonders 001/93 pokemon card,,,
3,en-B2a-002,B2a-002,Floragato,Paldean Wonders,002,93,One Diamond,Floragato Paldean Wonders 002/93 pokemon card,,,
4,en-B2a-003,B2a-003,Meowscarada,Paldean Wonders,003,93,Four Diamond,Meowscarada Paldean Wonders 003/93 pokemon card,,,
5,en-B2a-004,B2a-004,Tarountula,Paldean Wonders,004,93,One Diamond,Tarountula Paldean Wonders 004/93 pokemon card,,,
6,en-B2a-005,B2a-005,Spidops,Paldean Wonders,005,93,Two Diamond,Spidops Paldean Wonders 005/93 pokemon card,,,
7,en-B2a-006,B2a-006,Nymble,Paldean Wonders,006,93,One Diamond,Nymble Paldean Wonders 006/93 pokemon card,,,
8,en-B2a-007,B2a-007,Smoliv,Paldean Wonders,007,93,One Diamond,Smoliv Paldean Wonders 007/93 pokemon card,,,
9,en-B2a-008,B2a-008,Dolliv,Paldean Wonders,008,93,One Diamond,Dolliv Paldean Wonders 008/93 pokemon card,,,
10,en-B2a-009,B2a-009,Arboliva,Paldean Wonders,009,93,Three Diamond,Arboliva Paldean Wonders 009/93 pokemon card,,,
11,en-B2a-010,B2a-010,Bramblin,Paldean Wonders,010,93,One Diamond,Bramblin Paldean Wonders 010/93 pokemon card,,,
12,en-B2a-011,B2a-011,Brambleghast,Paldean Wonders,011,93,Two Diamond,Brambleghast Paldean Wonders 011/93 pokemon card,,,
13,en-B2a-012,B2a-012,Capsakid,Paldean Wonders,012,93,One Diamond,Capsakid Paldean Wonders 012/93 pokemon card,,,
14,en-B2a-013,B2a-013,Scovillain,Paldean Wonders,013,93,Two Diamond,Scovillain Paldean Wonders 013/93 pokemon card,,,
15,en-B2a-014,B2a-014,Rellor,Paldean Wonders,014,93,One Diamond,Rellor Paldean Wonders 014/93 pokemon card,,,
16,en-B2a-015,B2a-015,Wo-Chien,Paldean Wonders,015,93,Three Diamond,Wo-Chien Paldean Wonders 015/93 pokemon card,,,
17,en-B2a-016,B2a-016,Fuecoco,Paldean Wonders,016,93,One Diamond,Fuecoco Paldean Wonders 016/93 pokemon card,,,
18,en-B2a-017,B2a-017,Crocalor,Paldean Wonders,017,93,One Diamond,Crocalor Paldean Wonders 017/93 pokemon card,,,
19,en-B2a-018,B2a-018,Skeledirge,Paldean Wonders,018,93,Three Diamond,Skeledirge Paldean Wonders 018/93 pokemon card,,,
20,en-B2a-019,B2a-019,Charcadet,Paldean Wonders,019,93,One Diamond,Charcadet Paldean Wonders 019/93 pokemon card,,,
21,en-B2a-020,B2a-020,Armarouge,Paldean Wonders,020,93,Four Diamond,Armarouge Paldean Wonders 020/93 pokemon card,,,
22,en-B2a-021,B2a-021,Chi-Yu,Paldean Wonders,021,93,Three Diamond,Chi-Yu Paldean Wonders 021/93 pokemon card,,,
23,en-B2a-022,B2a-022,Quaxly,Paldean Wonders,022,93,One Diamond,Quaxly Paldean Wonders 022/93 pokemon card,,,
24,en-B2a-023,B2a-023,Quaxwell,Paldean Wonders,023,93,One Diamond,Quaxwell Paldean Wonders 023/93 pokemon card,,,
