#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes,VERIFIED
1,en-ecard2-103a,ecard2-103a,Porygon,Aquapolis,103a,147,Common,Porygon Aquapolis 103a/147 pokemon card,,,no image found - Aquapolis a/b variant,
2,en-ecard2-103b,ecard2-103b,Porygon,Aquapolis,103b,147,Common,Porygon Aquapolis 103b/147 pokemon card,,,no image found - Aquapolis a/b variant,
3,en-ecard2-50a,ecard2-50a,Golduck,Aquapolis,50a,147,Uncommon,Golduck Aquapolis 50a/147 pokemon card,,,no image found - Aquapolis a/b variant,
4,en-ecard2-50b,ecard2-50b,Golduck,Aquapolis,50b,147,Uncommon,Golduck Aquapolis 50b/147 pokemon card,,,no image found - Aquapolis a/b variant,
5,en-ecard2-74a,ecard2-74a,Drowzee,Aquapolis,74a,147,Common,Drowzee Aquapolis 74a/147 pokemon card,,,no image found - Aquapolis a/b variant,
6,en-ecard2-74b,ecard2-74b,Drowzee,Aquapolis,74b,147,Common,Drowzee Aquapolis 74b/147 pokemon card,,,no image found - Aquapolis a/b variant,
7,en-ecard2-95a,ecard2-95a,Mr. Mime,Aquapolis,95a,147,Common,Mr. Mime Aquapolis 95a/147 pokemon card,,,no image found - Aquapolis a/b variant,
8,en-ecard2-95b,ecard2-95b,Mr. Mime,Aquapolis,95b,147,Common,Mr. Mime Aquapolis 95b/147 pokemon card,,,no image found - Aquapolis a/b variant,
9,en-ecard2-H01,ecard2-H01,Ampharos,Aquapolis,H01,147,Holo Rare,Ampharos Aquapolis H01/147 pokemon card,https://pkmncards.com/wp-content/uploads/h01-ampharos-expedition.jpg,https://pkmncards.com/card/ampharos-aquapolis-aq-h1/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 a7c93e8c60af5899.,yes
10,en-ecard2-H02,ecard2-H02,Arcanine,Aquapolis,H02,147,Holo Rare,Arcanine Aquapolis H02/147 pokemon card,https://pkmncards.com/wp-content/uploads/h02-arcanaine-expedition.jpg,https://pkmncards.com/card/arcanine-aquapolis-aq-h2/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 aedfc84ef8441ce4.,yes
11,en-ecard2-H03,ecard2-H03,Ariados,Aquapolis,H03,147,Holo Rare,Ariados Aquapolis H03/147 pokemon card,https://pkmncards.com/wp-content/uploads/h03-ariados-expedition.jpg,https://pkmncards.com/card/ariados-aquapolis-aq-h3/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 32e73ca42f220366.,yes
12,en-ecard2-H04,ecard2-H04,Azumarill,Aquapolis,H04,147,Holo Rare,Azumarill Aquapolis H04/147 pokemon card,https://pkmncards.com/wp-content/uploads/h04-azumarill-expedition.jpg,https://pkmncards.com/card/azumarill-aquapolis-aq-h4/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 4866bebb13a032b6.,yes
13,en-ecard2-H05,ecard2-H05,Bellossom,Aquapolis,H05,147,Holo Rare,Bellossom Aquapolis H05/147 pokemon card,https://pkmncards.com/wp-content/uploads/h05-bellossom-expedition.jpg,https://pkmncards.com/card/bellossom-aquapolis-aq-h5/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 22cc9056d5849303.,yes
14,en-ecard2-H06,ecard2-H06,Blissey,Aquapolis,H06,147,Holo Rare,Blissey Aquapolis H06/147 pokemon card,https://pkmncards.com/wp-content/uploads/h06-blissey-expedition.jpg,https://pkmncards.com/card/blissey-aquapolis-aq-h6/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 906ab9b75791b44b.,yes
15,en-ecard2-H07,ecard2-H07,Electrode,Aquapolis,H07,147,Holo Rare,Electrode Aquapolis H07/147 pokemon card,https://pkmncards.com/wp-content/uploads/h07-electrode-expedition.jpg,https://pkmncards.com/card/electrode-aquapolis-aq-h7/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 fc28f2293365d849.,yes
16,en-ecard2-H08,ecard2-H08,Entei,Aquapolis,H08,147,Holo Rare,Entei Aquapolis H08/147 pokemon card,https://pkmncards.com/wp-content/uploads/h08-entei-expedition.jpg,https://pkmncards.com/card/entei-aquapolis-aq-h8/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 ede25d139244185e.,yes
17,en-ecard2-H09,ecard2-H09,Espeon,Aquapolis,H09,147,Holo Rare,Espeon Aquapolis H09/147 pokemon card,https://pkmncards.com/wp-content/uploads/h09-espeon-expedition.jpg,https://pkmncards.com/card/espeon-aquapolis-aq-h9/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 9f03419f451fd396.,yes
