#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
501,en-swsh11tg-TG11,swsh11tg-TG11,Castform,Lost Origin Trainer Gallery,TG11,30,Rare,Castform Lost Origin Trainer Gallery TG11/30 pokemon card,,,
502,en-swsh11tg-TG12,swsh11tg-TG12,Orbeetle V,Lost Origin Trainer Gallery,TG12,30,Ultra Rare,Orbeetle V Lost Origin Trainer Gallery TG12/30 pokemon card,,,
503,en-swsh11tg-TG13,swsh11tg-TG13,Orbeetle VMAX,Lost Origin Trainer Gallery,TG13,30,Ultra Rare,Orbeetle VMAX Lost Origin Trainer Gallery TG13/30 pokemon card,,,
504,en-swsh11tg-TG14,swsh11tg-TG14,Centiskorch V,Lost Origin Trainer Gallery,TG14,30,Ultra Rare,Centiskorch V Lost Origin Trainer Gallery TG14/30 pokemon card,,,
505,en-swsh11tg-TG15,swsh11tg-TG15,Centiskorch VMAX,Lost Origin Trainer Gallery,TG15,30,Ultra Rare,Centiskorch VMAX Lost Origin Trainer Gallery TG15/30 pokemon card,,,
506,en-swsh11tg-TG16,swsh11tg-TG16,Pikachu V,Lost Origin Trainer Gallery,TG16,30,Ultra Rare,Pikachu V Lost Origin Trainer Gallery TG16/30 pokemon card,,,
507,en-swsh11tg-TG17,swsh11tg-TG17,Pikachu VMAX,Lost Origin Trainer Gallery,TG17,30,Ultra Rare,Pikachu VMAX Lost Origin Trainer Gallery TG17/30 pokemon card,,,
508,en-swsh11tg-TG18,swsh11tg-TG18,Enamorus V,Lost Origin Trainer Gallery,TG18,30,Ultra Rare,Enamorus V Lost Origin Trainer Gallery TG18/30 pokemon card,,,
509,en-swsh11tg-TG19,swsh11tg-TG19,Gallade V,Lost Origin Trainer Gallery,TG19,30,Ultra Rare,Gallade V Lost Origin Trainer Gallery TG19/30 pokemon card,,,
510,en-swsh11tg-TG20,swsh11tg-TG20,Crobat V,Lost Origin Trainer Gallery,TG20,30,Ultra Rare,Crobat V Lost Origin Trainer Gallery TG20/30 pokemon card,,,
511,en-swsh11tg-TG21,swsh11tg-TG21,Eternatus V,Lost Origin Trainer Gallery,TG21,30,Ultra Rare,Eternatus V Lost Origin Trainer Gallery TG21/30 pokemon card,,,
512,en-swsh11tg-TG22,swsh11tg-TG22,Eternatus VMAX,Lost Origin Trainer Gallery,TG22,30,Ultra Rare,Eternatus VMAX Lost Origin Trainer Gallery TG22/30 pokemon card,,,
513,en-swsh11tg-TG23,swsh11tg-TG23,Adventurer's Discovery,Lost Origin Trainer Gallery,TG23,30,Ultra Rare,Adventurer's Discovery Lost Origin Trainer Gallery TG23/30 pokemon card,,,
514,en-swsh11tg-TG24,swsh11tg-TG24,Boss's Orders,Lost Origin Trainer Gallery,TG24,30,Ultra Rare,Boss's Orders Lost Origin Trainer Gallery TG24/30 pokemon card,,,
515,en-swsh11tg-TG25,swsh11tg-TG25,Cook,Lost Origin Trainer Gallery,TG25,30,Ultra Rare,Cook Lost Origin Trainer Gallery TG25/30 pokemon card,,,
516,en-swsh11tg-TG26,swsh11tg-TG26,Kabu,Lost Origin Trainer Gallery,TG26,30,Ultra Rare,Kabu Lost Origin Trainer Gallery TG26/30 pokemon card,,,
517,en-swsh11tg-TG27,swsh11tg-TG27,Nessa,Lost Origin Trainer Gallery,TG27,30,Ultra Rare,Nessa Lost Origin Trainer Gallery TG27/30 pokemon card,,,
518,en-swsh11tg-TG28,swsh11tg-TG28,Opal,Lost Origin Trainer Gallery,TG28,30,Ultra Rare,Opal Lost Origin Trainer Gallery TG28/30 pokemon card,,,
519,en-swsh11tg-TG29,swsh11tg-TG29,Pikachu VMAX,Lost Origin Trainer Gallery,TG29,30,Secret Rare,Pikachu VMAX Lost Origin Trainer Gallery TG29/30 pokemon card,,,
520,en-swsh11tg-TG30,swsh11tg-TG30,Mew VMAX,Lost Origin Trainer Gallery,TG30,30,Secret Rare,Mew VMAX Lost Origin Trainer Gallery TG30/30 pokemon card,,,
521,en-mep-001,mep-001,Meganium,MEP Black Star Promos,001,0,Promo,Meganium MEP Black Star Promos 001/0 pokemon card,,,
522,en-mep-002,mep-002,Inteleon,MEP Black Star Promos,002,0,Promo,Inteleon MEP Black Star Promos 002/0 pokemon card,,,
523,en-mep-003,mep-003,Alakazam,MEP Black Star Promos,003,0,Promo,Alakazam MEP Black Star Promos 003/0 pokemon card,,,
524,en-mep-004,mep-004,Lunatone,MEP Black Star Promos,004,0,Promo,Lunatone MEP Black Star Promos 004/0 pokemon card,,,
525,en-mep-005,mep-005,Drifloon,MEP Black Star Promos,005,0,Promo,Drifloon MEP Black Star Promos 005/0 pokemon card,,,
526,en-mep-006,mep-006,Drifblim,MEP Black Star Promos,006,0,Promo,Drifblim MEP Black Star Promos 006/0 pokemon card,,,
527,en-mep-007,mep-007,Psyduck,MEP Black Star Promos,007,0,Promo,Psyduck MEP Black Star Promos 007/0 pokemon card,,,
528,en-mep-008,mep-008,Golduck,MEP Black Star Promos,008,0,Promo,Golduck MEP Black Star Promos 008/0 pokemon card,,,
529,en-mep-009,mep-009,Alakazam,MEP Black Star Promos,009,0,Promo,Alakazam MEP Black Star Promos 009/0 pokemon card,,,
530,en-mep-010,mep-010,Riolu,MEP Black Star Promos,010,0,Promo,Riolu MEP Black Star Promos 010/0 pokemon card,,,
531,en-mep-011,mep-011,Mega Latias ex,MEP Black Star Promos,011,0,Promo,Mega Latias ex MEP Black Star Promos 011/0 pokemon card,,,
532,en-mep-012,mep-012,Mega Lucario ex,MEP Black Star Promos,012,0,Promo,Mega Lucario ex MEP Black Star Promos 012/0 pokemon card,,,
533,en-mep-013,mep-013,Mega Venusaur ex,MEP Black Star Promos,013,0,Promo,Mega Venusaur ex MEP Black Star Promos 013/0 pokemon card,,,
534,en-mep-014,mep-014,Ceruledge,MEP Black Star Promos,014,0,Promo,Ceruledge MEP Black Star Promos 014/0 pokemon card,,,
535,en-mep-015,mep-015,Zacian,MEP Black Star Promos,015,0,Promo,Zacian MEP Black Star Promos 015/0 pokemon card,,,
536,en-mep-016,mep-016,Flygon,MEP Black Star Promos,016,0,Promo,Flygon MEP Black Star Promos 016/0 pokemon card,,,
