#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1251,en-swsh12tg-TG30,swsh12tg-TG30,Duraludon VMAX,Silver Tempest Trainer Gallery,TG30,30,Secret Rare,Duraludon VMAX Silver Tempest Trainer Gallery TG30/30 pokemon card,,,
1252,en-ecard3-H01,ecard3-H01,Alakazam,Skyridge,H01,144,Holo Rare,Alakazam Skyridge H01/144 pokemon card,,,
1253,en-ecard3-H02,ecard3-H02,Arcanine,Skyridge,H02,144,Holo Rare,Arcanine Skyridge H02/144 pokemon card,,,
1254,en-ecard3-H03,ecard3-H03,Articuno,Skyridge,H03,144,Holo Rare,Articuno Skyridge H03/144 pokemon card,,,
1255,en-ecard3-H04,ecard3-H04,Beedrill,Skyridge,H04,144,Holo Rare,Beedrill Skyridge H04/144 pokemon card,,,
1256,en-ecard3-H05,ecard3-H05,Crobat,Skyridge,H05,144,Holo Rare,Crobat Skyridge H05/144 pokemon card,,,
1257,en-ecard3-H06,ecard3-H06,Dewgong,Skyridge,H06,144,Holo Rare,Dewgong Skyridge H06/144 pokemon card,,,
1258,en-ecard3-H07,ecard3-H07,Flareon,Skyridge,H07,144,Holo Rare,Flareon Skyridge H07/144 pokemon card,,,
1259,en-ecard3-H08,ecard3-H08,Forretress,Skyridge,H08,144,Holo Rare,Forretress Skyridge H08/144 pokemon card,,,
1260,en-ecard3-H09,ecard3-H09,Gengar,Skyridge,H09,144,Holo Rare,Gengar Skyridge H09/144 pokemon card,,,
1261,en-ecard3-H10,ecard3-H10,Gyarados,Skyridge,H10,144,Holo Rare,Gyarados Skyridge H10/144 pokemon card,,,
1262,en-ecard3-H11,ecard3-H11,Houndoom,Skyridge,H11,144,Holo Rare,Houndoom Skyridge H11/144 pokemon card,,,
1263,en-ecard3-H12,ecard3-H12,Jolteon,Skyridge,H12,144,Holo Rare,Jolteon Skyridge H12/144 pokemon card,,,
1264,en-ecard3-H13,ecard3-H13,Kabutops,Skyridge,H13,144,Holo Rare,Kabutops Skyridge H13/144 pokemon card,,,
1265,en-ecard3-H14,ecard3-H14,Ledian,Skyridge,H14,144,Holo Rare,Ledian Skyridge H14/144 pokemon card,,,
1266,en-ecard3-H15,ecard3-H15,Machamp,Skyridge,H15,144,Holo Rare,Machamp Skyridge H15/144 pokemon card,,,
1267,en-ecard3-H16,ecard3-H16,Magcargo,Skyridge,H16,144,Holo Rare,Magcargo Skyridge H16/144 pokemon card,,,
1268,en-ecard3-H17,ecard3-H17,Magcargo,Skyridge,H17,144,Holo Rare,Magcargo Skyridge H17/144 pokemon card,,,
1269,en-ecard3-H18,ecard3-H18,Magneton,Skyridge,H18,144,Holo Rare,Magneton Skyridge H18/144 pokemon card,,,
