#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1,en-ecard2-103a,ecard2-103a,Porygon,Aquapolis,103a,147,Common,Porygon Aquapolis 103a/147 pokemon card,,,
2,en-ecard2-103b,ecard2-103b,Porygon,Aquapolis,103b,147,Common,Porygon Aquapolis 103b/147 pokemon card,,,
3,en-ecard2-50a,ecard2-50a,Golduck,Aquapolis,50a,147,Uncommon,Golduck Aquapolis 50a/147 pokemon card,,,
4,en-ecard2-50b,ecard2-50b,Golduck,Aquapolis,50b,147,Uncommon,Golduck Aquapolis 50b/147 pokemon card,,,
5,en-ecard2-74a,ecard2-74a,Drowzee,Aquapolis,74a,147,Common,Drowzee Aquapolis 74a/147 pokemon card,,,
6,en-ecard2-74b,ecard2-74b,Drowzee,Aquapolis,74b,147,Common,Drowzee Aquapolis 74b/147 pokemon card,,,
7,en-ecard2-95a,ecard2-95a,Mr. Mime,Aquapolis,95a,147,Common,Mr. Mime Aquapolis 95a/147 pokemon card,,,
8,en-ecard2-95b,ecard2-95b,Mr. Mime,Aquapolis,95b,147,Common,Mr. Mime Aquapolis 95b/147 pokemon card,,,
9,en-ecard2-H01,ecard2-H01,Ampharos,Aquapolis,H01,147,Holo Rare,Ampharos Aquapolis H01/147 pokemon card,,,
10,en-ecard2-H02,ecard2-H02,Arcanine,Aquapolis,H02,147,Holo Rare,Arcanine Aquapolis H02/147 pokemon card,,,
11,en-ecard2-H03,ecard2-H03,Ariados,Aquapolis,H03,147,Holo Rare,Ariados Aquapolis H03/147 pokemon card,,,
12,en-ecard2-H04,ecard2-H04,Azumarill,Aquapolis,H04,147,Holo Rare,Azumarill Aquapolis H04/147 pokemon card,,,
13,en-ecard2-H05,ecard2-H05,Bellossom,Aquapolis,H05,147,Holo Rare,Bellossom Aquapolis H05/147 pokemon card,,,
14,en-ecard2-H06,ecard2-H06,Blissey,Aquapolis,H06,147,Holo Rare,Blissey Aquapolis H06/147 pokemon card,,,
15,en-ecard2-H07,ecard2-H07,Electrode,Aquapolis,H07,147,Holo Rare,Electrode Aquapolis H07/147 pokemon card,,,
16,en-ecard2-H08,ecard2-H08,Entei,Aquapolis,H08,147,Holo Rare,Entei Aquapolis H08/147 pokemon card,,,
17,en-ecard2-H09,ecard2-H09,Espeon,Aquapolis,H09,147,Holo Rare,Espeon Aquapolis H09/147 pokemon card,,,
18,en-ecard2-H10,ecard2-H10,Exeggutor,Aquapolis,H10,147,Holo Rare,Exeggutor Aquapolis H10/147 pokemon card,,,
19,en-ecard2-H11,ecard2-H11,Houndoom,Aquapolis,H11,147,Holo Rare,Houndoom Aquapolis H11/147 pokemon card,,,
20,en-ecard2-H12,ecard2-H12,Hypno,Aquapolis,H12,147,Holo Rare,Hypno Aquapolis H12/147 pokemon card,,,
21,en-ecard2-H13,ecard2-H13,Jumpluff,Aquapolis,H13,147,Holo Rare,Jumpluff Aquapolis H13/147 pokemon card,,,
