dataset_id,language,name_native,name_english,display_name,translation_status,category,pokemon_types,hp,stage,evolves_from_native,collector_number,set_total,set_id,set_name_native,set_name_english,rarity,illustrator,pokedex_numbers,regulation_mark,available_finishes,release_date,source_record,source_url
en-base1-1,en,Alakazam,Alakazam,Alakazam,native_english,Pokemon,Psychic,80,Stage2,Kadabra,1,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/1.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/1.ts
en-base1-10,en,Mewtwo,Mewtwo,Mewtwo,native_english,Pokemon,Psychic,60,Basic,,10,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/10.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/10.ts
en-base1-100,en,Lightning Energy,Lightning Energy,Lightning Energy,native_english,Energy,,,Basic,,100,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/100.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/100.ts
en-base1-101,en,Psychic Energy,Psychic Energy,Psychic Energy,native_english,Energy,,,Basic,,101,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/101.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/101.ts
en-base1-102,en,Water Energy,Water Energy,Water Energy,native_english,Energy,,,Basic,,102,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/102.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/102.ts
en-base1-11,en,Nidoking,Nidoking,Nidoking,native_english,Pokemon,Grass,90,Stage2,Nidorino,11,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/11.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/11.ts
en-base1-12,en,Ninetales,Ninetales,Ninetales,native_english,Pokemon,Fire,80,Stage1,Vulpix,12,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/12.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/12.ts
en-base1-13,en,Poliwrath,Poliwrath,Poliwrath,native_english,Pokemon,Water,90,Stage2,Poliwhirl,13,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/13.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/13.ts
en-base1-14,en,Raichu,Raichu,Raichu,native_english,Pokemon,Lightning,80,Stage1,Pikachu,14,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/14.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/14.ts
en-base1-15,en,Venusaur,Venusaur,Venusaur,native_english,Pokemon,Grass,100,Stage2,Ivysaur,15,102,base1,Base Set,Base Set,Rare,Mitsuhiro Arita,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/15.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/15.ts
