dataset_id,language,name_native,name_english,display_name,translation_status,category,pokemon_types,hp,stage,evolves_from_native,collector_number,set_total,set_id,set_name_native,set_name_english,rarity,illustrator,pokedex_numbers,regulation_mark,available_finishes,release_date,source_record,source_url
ja-M-P-001,ja,チコリータ,Chikorita,チコリータ (Chikorita),verified_name_map,Pokemon,Grass,70,Basic,,001,0,M-P,メガ プロモカード,,Promo,Makura Tami,,I,normal,2025-07-28,data-asia/M/M-P/001.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/001.ts
ja-M-P-002,ja,ラプラスex,Lapras ex,ラプラスex (Lapras ex),verified_name_map_with_suffix,Pokemon,Water,210,Basic,,002,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,I,normal,2025-07-28,data-asia/M/M-P/002.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/002.ts
ja-M-P-003,ja,マシマシラ,Munkidori,マシマシラ (Munkidori),verified_name_map,Pokemon,Psychic,110,Basic,,003,0,M-P,メガ プロモカード,,Promo,kodama,,H,normal,2025-07-28,data-asia/M/M-P/003.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/003.ts
ja-M-P-004,ja,マクノシタ,Makuhita,マクノシタ (Makuhita),verified_name_map,Pokemon,Fighting,80,Basic,,004,0,M-P,メガ プロモカード,,Promo,Takeshi Nakamura,,I,normal,2025-07-28,data-asia/M/M-P/004.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/004.ts
ja-M-P-005,ja,あなあけスコップ,,あなあけスコップ (English translation unavailable),untranslated,Trainer,,,,,005,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,I,normal,2025-07-28,data-asia/M/M-P/005.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/005.ts
ja-M-P-006,ja,カウンターゲイン,Counter Gain,カウンターゲイン (Counter Gain),verified_name_map,Trainer,,,,,006,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,H,normal,2025-07-28,data-asia/M/M-P/006.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/006.ts
ja-M-P-007,ja,リーリエの決心,,リーリエの決心 (English translation unavailable),untranslated,Trainer,,,,,007,0,M-P,メガ プロモカード,,Promo,Atsushi Furusawa,,I,normal,2025-07-28,data-asia/M/M-P/007.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/007.ts
ja-M-P-008,ja,メガシグナル,,メガシグナル (English translation unavailable),untranslated,Trainer,,,,,008,0,M-P,メガ プロモカード,,Promo,inose yukie,,I,normal,2025-07-28,data-asia/M/M-P/008.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/008.ts
ja-M-P-009,ja,基本草エネルギー,Basic Grass Energy,基本草エネルギー (Basic Grass Energy),pokeapi_term_map,Energy,,,,,009,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/009.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/009.ts
ja-M-P-010,ja,基本炎エネルギー,Basic Fire Energy,基本炎エネルギー (Basic Fire Energy),pokeapi_term_map,Energy,,,,,010,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/010.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/010.ts
ja-M-P-011,ja,基本水エネルギー,Basic Water Energy,基本水エネルギー (Basic Water Energy),pokeapi_term_map,Energy,,,,,011,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/011.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/011.ts
ja-M-P-012,ja,基本雷エネルギー,Basic Lightning Energy,基本雷エネルギー (Basic Lightning Energy),pokeapi_term_map,Energy,,,,,012,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/012.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/012.ts
ja-M-P-013,ja,基本超エネルギー,Basic Psychic Energy,基本超エネルギー (Basic Psychic Energy),pokeapi_term_map,Energy,,,,,013,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/013.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/013.ts
ja-M-P-014,ja,基本闘エネルギー,Basic Fighting Energy,基本闘エネルギー (Basic Fighting Energy),pokeapi_term_map,Energy,,,,,014,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/014.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/014.ts
ja-M-P-015,ja,基本悪エネルギー,Basic Darkness Energy,基本悪エネルギー (Basic Darkness Energy),pokeapi_term_map,Energy,,,,,015,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/015.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/015.ts
ja-M-P-016,ja,基本鋼エネルギー,Basic Metal Energy,基本鋼エネルギー (Basic Metal Energy),pokeapi_term_map,Energy,,,,,016,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/016.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/016.ts
ja-M-P-017,ja,ニャオハ,Sprigatito,ニャオハ (Sprigatito),verified_name_map,Pokemon,Grass,60,Basic,,017,0,M-P,メガ プロモカード,,Promo,Mina Nakai,,I,normal,2025-07-28,data-asia/M/M-P/017.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/017.ts
